reporting_period,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,average_delay_mins,arrival_departure_A,arrival_departure_D,scheduled_charter_C,scheduled_charter_S
202201,4,0,0,0.0,25.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,19.0,0,1,0,1
202201,17,0,0,17.647059,35.294118,23.529412,5.882353,5.882353,0.0,11.764706,0.0,0.0,22.0,1,0,0,1
202201,56,0,3,15.254237,25.423729,25.423729,6.779661,10.169492,6.779661,3.389831,1.694915,0.0,23.0,1,0,0,1
202201,9,0,0,0.0,44.444444,33.333333,0.0,11.111111,0.0,11.111111,0.0,0.0,22.0,0,1,1,0
202201,5,0,0,0.0,40.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,18.0,0,1,0,1
202201,17,0,1,5.555556,44.444444,27.777778,5.555556,5.555556,0.0,5.555556,0.0,0.0,17.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1,0,1,0
202201,5,0,0,0.0,0.0,20.0,0.0,20.0,40.0,20.0,0.0,0.0,63.0,1,0,1,0
202201,3,0,0,0.0,0.0,0.0,0.0,66.666667,33.333333,0.0,0.0,0.0,49.0,1,0,0,1
202201,8,0,0,12.5,50.0,12.5,0.0,12.5,12.5,0.0,0.0,0.0,18.0,1,0,0,1
202201,5,0,0,0.0,0.0,40.0,20.0,20.0,0.0,20.0,0.0,0.0,39.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26.0,0,1,1,0
202201,5,0,0,0.0,40.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,16.0,0,1,0,1
202201,2,0,0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,14,0,0,64.285714,14.285714,7.142857,0.0,7.142857,0.0,0.0,7.142857,0.0,21.0,1,0,0,1
202201,3,0,0,0.0,0.0,33.333333,33.333333,0.0,33.333333,0.0,0.0,0.0,46.0,1,0,0,1
202201,9,0,0,33.333333,33.333333,11.111111,0.0,11.111111,0.0,11.111111,0.0,0.0,24.0,1,0,0,1
202201,17,0,0,11.764706,17.647059,5.882353,17.647059,47.058824,0.0,0.0,0.0,0.0,25.0,1,0,0,1
202201,5,0,0,20.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,20.0,1,0,0,1
202201,13,0,0,7.692308,0.0,23.076923,7.692308,30.769231,23.076923,7.692308,0.0,0.0,46.0,1,0,1,0
202201,13,0,0,7.692308,15.384615,23.076923,0.0,23.076923,30.769231,0.0,0.0,0.0,34.0,1,0,0,1
